timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
2025-01-07 17:45:54.101723,-1.1399999857,9.7899999619,-0.3599999845,-0.25,0.4375,1.375,-12.25,-19.5,-19.5
2025-01-07 17:45:54.180039,-0.8499999642,9.779999733,-0.4299999774,-0.5,-0.375,2.6875,-12.25,-19.1875,-19.5
2025-01-07 17:45:54.261766,-0.7699999809,9.8099994659,-0.349999994,-0.875,0.0625,0.1875,-12.25,-20.1875,-19.25
2025-01-07 17:45:54.343540,-0.9799999595,9.7699995041,-0.349999994,-0.5625,-0.25,0.75,-12.0,-20.1875,-20.75
2025-01-07 17:45:54.420801,-0.8899999857,9.8000001907,-0.3299999833,-0.25,0.0625,0.0,-12.25,-20.1875,-20.75
2025-01-07 17:45:54.501844,-0.8999999762,9.7899999619,-0.3299999833,-0.0625,-0.125,-0.125,-13.0,-19.875,-20.75
2025-01-07 17:45:54.584752,-0.8399999738,9.7699995041,-0.3100000024,0.0625,0.125,0.375,-12.25,-21.0,-21.1875
2025-01-07 17:45:54.663277,-0.8999999762,9.7699995041,-0.3199999928,0.1875,0.1875,0.0,-13.0,-20.1875,-19.5625
2025-01-07 17:45:54.744018,-0.8100000024,9.7899999619,-0.3299999833,0.0,-0.0625,0.625,-13.0,-19.875,-20.0625
2025-01-07 17:45:54.825365,-0.8199999928,9.779999733,-0.2999999821,0.5625,-0.3125,1.25,-12.6875,-20.1875,-22.0
2025-01-07 17:45:54.904344,-0.7599999905,9.8299999237,-0.3999999762,0.625,-0.25,-0.1875,-13.0,-19.875,-20.75
2025-01-07 17:45:54.983908,-1.0,9.8099994659,-0.4699999988,0.4375,0.1875,-0.8125,-13.0,-19.5,-20.375
2025-01-07 17:45:55.064528,-0.8899999857,9.8199996948,-0.349999994,-0.4375,0.0,0.375,-13.375,-20.5625,-19.5625
2025-01-07 17:45:55.152842,-0.9300000072,9.779999733,-0.3599999845,-0.3125,0.1875,0.375,-12.25,-20.5625,-20.375
2025-01-07 17:45:55.235584,-0.8899999857,9.779999733,-0.3999999762,-0.5625,0.375,-0.125,-13.0,-20.5625,-20.375
2025-01-07 17:45:55.316714,-0.8100000024,9.8099994659,-0.3299999833,-0.5625,0.0,-0.125,-13.375,-19.875,-20.0
2025-01-07 17:45:55.397102,-0.8399999738,9.7699995041,-0.2899999917,-0.25,-0.125,-0.5,-12.25,-19.875,-19.5625
2025-01-07 17:45:55.484345,-0.8999999762,9.7899999619,-0.2999999821,0.0625,-0.4375,-0.3125,-13.75,-20.1875,-19.25
2025-01-07 17:45:55.567359,-0.8299999833,9.8000001907,-0.3599999845,0.1875,-0.375,0.625,-12.6875,-20.1875,-19.5625
2025-01-07 17:45:55.650892,-0.8299999833,9.8000001907,-0.3799999952,0.125,0.0,-0.1875,-12.6875,-21.0,-20.75
2025-01-07 17:45:55.729605,-0.8999999762,9.7899999619,-0.3400000036,-0.125,0.0625,-0.6875,-12.6875,-19.0625,-21.5625
2025-01-07 17:45:55.809749,-0.8599999547,9.7899999619,-0.3199999928,-0.125,0.0625,-0.375,-12.6875,-20.1875,-20.0625
2025-01-07 17:45:55.889831,-0.8899999857,9.7899999619,-0.2999999821,-0.1875,0.625,-0.375,-13.375,-19.875,-21.5625
2025-01-07 17:45:55.968885,-0.6800000072,9.779999733,-0.3299999833,-0.1875,1.125,-0.875,-13.0,-20.5625,-20.75
2025-01-07 17:45:56.051414,-0.9199999571,9.8000001907,-0.349999994,0.0,-0.125,-0.0625,-13.75,-19.5,-20.6875
2025-01-07 17:45:56.131055,-0.8499999642,9.779999733,-0.2699999809,0.0,0.5625,-0.125,-12.25,-19.875,-20.25
2025-01-07 17:45:56.215095,-0.9199999571,9.779999733,-0.3100000024,0.3125,0.0625,0.3125,-13.375,-19.875,-20.6875
2025-01-07 17:45:56.292211,-0.9499999881,9.8000001907,-0.3400000036,0.0,0.0,0.5625,-13.0,-19.875,-19.875
2025-01-07 17:45:56.371972,-0.9300000072,9.7699995041,-0.3100000024,-0.1875,0.5625,-0.1875,-13.0,-19.875,-19.5
2025-01-07 17:45:56.452707,-0.7999999523,9.8099994659,-0.349999994,-0.3125,0.1875,0.125,-12.6875,-19.5,-20.25
2025-01-07 17:45:56.551917,-0.8999999762,9.779999733,-0.3100000024,-0.3125,0.125,-0.1875,-12.25,-19.5,-20.6875
2025-01-07 17:45:56.650230,-1.0,9.779999733,-0.2399999946,-0.0625,0.0,-0.125,-13.0,-20.1875,-21.0625
2025-01-07 17:45:56.729698,-0.7799999714,9.7899999619,-0.3100000024,0.0625,-0.1875,-0.0625,-12.25,-19.5,-21.0625
2025-01-07 17:45:56.812723,-1.0099999905,9.7899999619,-0.2899999917,0.375,0.0,0.8125,-12.6875,-19.875,-19.0625
2025-01-07 17:45:56.895949,-0.8799999952,9.8099994659,-0.2899999917,0.5,-0.375,0.5625,-12.0,-19.5,-20.25
2025-01-07 17:45:56.976409,-0.9599999785,9.7899999619,-0.3299999833,0.0,0.375,-0.3125,-12.25,-19.1875,-20.6875
2025-01-07 17:45:57.056415,-0.8999999762,9.7699995041,-0.3299999833,-0.25,0.5625,0.1875,-12.25,-20.5625,-20.6875
2025-01-07 17:45:57.136177,-0.8700000048,9.7899999619,-0.3100000024,0.0,-0.0625,0.375,-13.0,-19.875,-19.5
2025-01-07 17:45:57.216527,-0.9499999881,9.8000001907,-0.3700000048,0.125,-0.625,1.125,-13.375,-19.1875,-19.875
2025-01-07 17:45:57.297268,-0.8799999952,9.779999733,-0.3299999833,-0.625,-0.1875,0.0625,-12.25,-19.5,-20.6875
2025-01-07 17:45:57.376972,-0.9799999595,9.7899999619,-0.2299999893,-0.625,0.75,0.125,-12.6875,-19.875,-20.6875
2025-01-07 17:45:57.457879,-0.8999999762,9.7699995041,-0.2699999809,-0.1875,0.1875,1.875,-12.25,-20.1875,-20.6875
2025-01-07 17:45:57.532355,-0.6899999976,9.8099994659,-0.349999994,0.125,-1.25,1.9375,-13.375,-19.875,-20.6875
2025-01-07 17:45:57.608843,-0.8100000024,9.8000001907,-0.3199999928,-0.4375,0.1875,0.875,-12.6875,-19.875,-21.0625
2025-01-07 17:45:57.693140,-0.7400000095,9.7899999619,-0.25,-0.25,-0.375,0.75,-12.25,-19.875,-21.5
2025-01-07 17:45:57.770711,-0.7799999714,9.8000001907,-0.2999999821,-0.1875,0.0625,0.6875,-13.375,-19.5,-20.25
2025-01-07 17:45:57.850232,-0.8599999547,9.7899999619,-0.349999994,-0.5625,0.5,1.1875,-13.0,-20.1875,-20.25
2025-01-07 17:45:57.930374,-0.6699999571,9.8199996948,-0.2800000012,-0.875,-0.125,0.375,-12.6875,-20.1875,-21.5
2025-01-07 17:45:58.009076,-0.9099999666,9.7699995041,-0.2599999905,-1.1875,1.3125,-0.625,-12.6875,-19.875,-21.0625
2025-01-07 17:45:58.090820,-0.7999999523,9.779999733,-0.1999999881,-0.4375,1.0,-0.3125,-12.25,-19.875,-21.5
2025-01-07 17:45:58.169681,-0.8899999857,9.8099994659,-0.25,0.125,0.0,1.75,-13.0,-20.1875,-21.0625
2025-01-07 17:45:58.250541,-0.4699999988,9.8299999237,-0.2299999893,0.5,0.1875,-0.25,-12.6875,-19.5,-19.875
2025-01-07 17:45:58.333736,-0.7799999714,9.8099994659,-0.2099999934,1.0625,-0.625,-1.625,-12.6875,-19.875,-21.5
2025-01-07 17:45:58.412990,-1.0399999619,9.7899999619,-0.2299999893,1.0,0.3125,-0.5625,-12.6875,-20.1875,-20.6875
2025-01-07 17:45:58.493966,-0.7599999905,9.779999733,-0.2599999905,0.8125,0.0,-0.375,-12.0,-19.875,-21.0625
2025-01-07 17:45:58.573059,-0.6299999952,9.8099994659,-0.3599999845,0.6875,-1.3125,0.3125,-12.6875,-19.875,-20.6875
2025-01-07 17:45:58.654102,-1.7300000191,9.6799993515,-0.3100000024,0.3125,2.75,6.5625,-12.25,-19.1875,-19.0625
2025-01-07 17:45:58.736044,-3.3199999332,9.9200000763,-0.2099999934,6.625,10.625,32.8125,-13.75,-19.875,-20.6875
2025-01-07 17:45:58.814798,1.8399999142,9.0399999619,-0.1299999952,-10.0625,17.25,54.4375,-13.25,-19.5,-20.6875
2025-01-07 17:45:58.887458,1.2599999905,9.9600000381,-1.8299999237,-2.0625,84.375,72.75,-13.6875,-19.5,-18.6875
2025-01-07 17:45:58.964572,-1.9699999094,9.9399995804,-1.0799999237,-38.4375,28.875,65.6875,-15.0,-18.75,-22.375
2025-01-07 17:45:59.041501,1.75,8.7899999619,0.7599999905,-36.8125,19.4375,82.0,-17.0625,-18.875,-24.0
2025-01-07 17:45:59.123427,2.0799999237,7.759999752,2.2400000095,-28.125,2.25,98.5625,-20.6875,-18.5625,-24.375
2025-01-07 17:45:59.198109,5.759999752,7.5199999809,2.4400000572,2.5,-12.625,103.4375,-21.875,-15.6875,-22.375
2025-01-07 17:45:59.278435,4.9400000572,6.1799998283,0.9899999499,1.5,-24.875,108.75,-22.1875,-12.75,-21.0
2025-01-07 17:45:59.357586,7.4400000572,6.3499999046,0.3100000024,17.1875,-37.0625,92.5625,-24.25,-8.5,-17.25
2025-01-07 17:45:59.438190,6.6099996567,4.8699998856,0.8199999928,23.5625,-15.0625,117.8125,-27.0,-5.25,-15.875
2025-01-07 17:45:59.518392,7.0599999428,3.5399999619,-1.0499999523,22.0625,-51.875,134.9375,-28.0625,0.75,-10.6875
2025-01-07 17:45:59.599096,10.8800001144,1.4299999475,-2.2899999619,21.4375,-65.875,127.3125,-32.0625,8.5,4.1875
2025-01-07 17:45:59.678530,11.3199996948,1.0099999905,-2.9299998283,24.6875,-27.625,68.875,-35.75,11.1875,21.5
2025-01-07 17:45:59.767782,15.9200000763,-2.8699998856,-1.4199999571,-8.6875,18.5625,-13.0,-35.6875,-3.25,70.5
2025-01-07 17:45:59.845379,9.5999994278,1.6799999475,-1.1200000048,5.6875,31.875,-5.625,-31.1875,-7.6875,65.6875
2025-01-07 17:45:59.928786,8.6099996567,1.5799999237,-2.0899999142,-0.6875,-29.75,5.0625,-39.1875,-6.875,60.5625
2025-01-07 17:46:00.011361,9.5199995041,1.4599999189,-2.7200000286,-2.5625,-34.25,1.0625,-34.75,-8.5625,65.0625
2025-01-07 17:46:00.089920,9.9799995422,1.4599999189,-2.9900000095,-0.0625,-6.25,0.5,-31.5625,-10.375,71.375
2025-01-07 17:46:00.171093,8.9899997711,1.439999938,-2.7100000381,-0.3125,-6.4375,1.125,-31.1875,-12.0,74.5
2025-01-07 17:46:00.254163,9.5399999619,1.5,-3.1399998665,-0.25,-6.8125,0.4375,-30.375,-12.6875,75.6875
2025-01-07 17:46:00.331684,8.8599996567,1.4199999571,-2.9600000381,-1.875,-13.5,3.9375,-29.0625,-13.375,76.75
2025-01-07 17:46:00.407442,8.9099998474,1.3199999332,-3.3699998856,-6.0,-32.1875,6.5,-26.6875,-13.375,79.0
2025-01-07 17:46:00.487482,8.9399995804,1.3899999857,-3.8699998856,-5.1875,-44.5625,5.4375,-22.5,-14.875,81.0
2025-01-07 17:46:00.570736,8.3099994659,1.2099999189,-4.4699997902,-4.5,-48.8125,10.25,-12.5,-16.25,84.0625
2025-01-07 17:46:00.647384,8.5699996948,0.8299999833,-4.5399999619,-10.6875,-50.9375,9.6875,-4.875,-16.5625,85.75
2025-01-07 17:46:00.727021,8.3899993896,0.7899999619,-5.2999997139,-3.5625,-47.875,4.8125,9.0,-17.75,80.1875
2025-01-07 17:46:00.806000,7.8899998665,0.9099999666,-5.9800000191,1.1875,-23.5,1.9375,22.5625,-16.875,77.25
2025-01-07 17:46:00.885593,6.6900000572,1.0299999714,-6.1599998474,1.875,-51.4375,8.6875,25.0625,-18.1875,78.1875
2025-01-07 17:46:00.960687,-2.5899999142,-1.4800000191,1.8199999332,-3.3125,-54.6875,20.8125,36.375,-15.0625,65.0
2025-01-07 17:46:01.045338,11.3099994659,-1.6599999666,-6.1299996376,25.8125,28.1875,-27.375,40.75,-9.375,41.0
2025-01-07 17:46:01.126177,8.220000267,0.3700000048,-4.6399998665,4.75,34.875,6.3125,40.875,-12.6875,66.6875
2025-01-07 17:46:01.204133,8.2100000381,0.4699999988,-5.1300001144,1.6875,6.75,-0.5625,35.0625,-11.5625,71.5625
2025-01-07 17:46:01.291573,8.6300001144,0.6399999857,-4.8699998856,0.6875,14.4375,-0.125,34.1875,-12.875,70.5
2025-01-07 17:46:01.368369,8.7100000381,0.5099999905,-4.6500000954,0.1875,10.0,1.3125,31.75,-10.5625,70.6875
2025-01-07 17:46:01.449193,8.6499996185,0.4599999785,-4.7300000191,-0.0625,14.5625,-0.5,30.875,-11.25,71.1875
2025-01-07 17:46:01.527374,8.8299999237,0.4699999988,-4.4400000572,2.0,25.9375,1.125,27.5625,-10.5,70.875
2025-01-07 17:46:01.605288,9.0199995041,0.4199999869,-4.0399999619,2.625,34.4375,2.3125,26.0,-9.6875,72.75
2025-01-07 17:46:01.686228,9.1700000763,0.2199999988,-3.2599999905,1.1875,36.3125,2.9375,19.375,-9.6875,74.0625
2025-01-07 17:46:01.761837,9.3599996567,0.4299999774,-3.1499998569,2.125,55.0,4.5625,12.0625,-8.0,73.6875
2025-01-07 17:46:01.841921,10.1099996567,-1.3199999332,4.2699999809,12.3125,46.5625,6.0625,8.5,-6.1875,73.75
2025-01-07 17:46:01.917382,9.6300001144,1.689999938,-3.1899998188,-2.6875,-6.625,-4.125,2.0625,-4.5,70.25
2025-01-07 17:46:01.999825,9.4600000381,0.1400000006,-2.0799999237,0.5,0.0,-0.75,0.75,-5.25,71.375
2025-01-07 17:46:02.080103,9.5699996948,0.3999999762,-2.2300000191,0.125,-0.9375,-1.25,2.1875,-5.875,70.75
2025-01-07 17:46:02.153738,9.5799999237,0.3400000036,-2.129999876,0.1875,0.0625,0.0,1.375,-5.25,72.75
2025-01-07 17:46:02.231339,9.4799995422,0.3700000048,-2.1699998379,0.0,0.125,-0.1875,2.1875,-5.5625,72.0
2025-01-07 17:46:02.317104,9.5699996948,0.3999999762,-2.1599998474,0.125,-0.125,-0.5625,2.1875,-5.5625,71.875
2025-01-07 17:46:02.392925,9.4499998093,0.3899999857,-2.25,-0.125,-0.25,-0.625,1.375,-5.25,70.375
2025-01-07 17:46:02.473786,9.5699996948,0.3599999845,-2.1599998474,0.125,0.0625,-0.4375,1.75,-5.5625,72.75
2025-01-07 17:46:02.553734,9.4799995422,0.3799999952,-2.1699998379,0.0,-0.125,-0.3125,1.75,-5.5625,71.5625
2025-01-07 17:46:02.634969,9.5500001907,0.4199999869,-2.2200000286,-0.125,-0.375,-0.6875,2.75,-5.5625,72.0
2025-01-07 17:46:02.715675,9.6199998856,0.3799999952,-2.2000000477,0.1875,-0.1875,0.0625,1.75,-5.25,71.875
2025-01-07 17:46:02.794275,9.4499998093,0.3599999845,-2.1199998856,-0.125,0.1875,0.1875,1.75,-5.5625,71.5625
2025-01-07 17:46:02.874033,9.5699996948,0.4099999964,-2.2000000477,0.1875,-0.125,-0.0625,2.75,-5.25,71.1875
2025-01-07 17:46:02.955848,9.5,0.4099999964,-2.2100000381,-0.125,-0.125,-0.3125,1.75,-5.25,72.75
2025-01-07 17:46:03.035083,9.7199993134,0.3899999857,-2.25,0.0625,-0.25,-0.625,1.375,-5.875,72.375
2025-01-07 17:46:03.113076,9.5,0.3700000048,-2.2000000477,0.0,0.1875,-0.0625,2.75,-4.875,72.0
2025-01-07 17:46:03.195464,9.5,0.4499999881,-2.1099998951,0.25,-0.25,-0.25,2.1875,-5.875,72.75
2025-01-07 17:46:03.274580,9.5500001907,0.3599999845,-2.1900000572,-0.0625,0.0625,-0.25,1.75,-5.875,71.5625
2025-01-07 17:46:03.359508,9.6399993896,0.4099999964,-2.2000000477,0.125,-0.1875,0.625,2.1875,-5.25,71.875
2025-01-07 17:46:03.438249,9.4699993134,0.4399999976,-2.2300000191,-0.125,0.1875,0.1875,2.1875,-4.875,71.5625
2025-01-07 17:46:03.517519,9.6499996185,0.2800000012,-2.1599998474,-0.125,0.375,0.125,1.375,-6.6875,71.1875
2025-01-07 17:46:03.599221,9.3999996185,0.5399999619,-2.1900000572,0.0,0.0625,-0.0625,1.0,-5.875,72.75
2025-01-07 17:46:03.677903,9.5699996948,0.25,-2.0399999619,0.0625,0.375,0.0625,2.1875,-5.25,71.875
2025-01-07 17:46:03.755578,9.4099998474,0.3999999762,-2.2000000477,0.25,0.0625,0.375,2.5,-5.5625,70.75
2025-01-07 17:46:03.838712,9.5,0.3899999857,-2.0699999332,-0.0625,-0.0625,-0.25,1.75,-5.875,71.5625
2025-01-07 17:46:03.917275,9.4799995422,0.3899999857,-2.25,0.0625,0.0625,0.25,1.75,-5.875,71.875
2025-01-07 17:46:03.997955,9.5199995041,0.4699999988,-2.129999876,0.0625,-0.25,-0.1875,2.1875,-6.25,72.75
2025-01-07 17:46:04.080224,9.529999733,0.3100000024,-2.2000000477,0.0625,0.0625,0.1875,1.75,-4.875,72.75
2025-01-07 17:46:04.158528,9.4799995422,0.4599999785,-2.1099998951,0.0625,-0.1875,-0.0625,1.75,-5.875,73.0625
2025-01-07 17:46:04.240572,9.5399999619,0.4099999964,-2.25,0.0,-0.125,0.0,2.5,-6.25,72.0
